Date,Player,Team,Match,Time of Red Cards Given,Final Results,WLT
10/Aug/19,Morgan Schneiderlin,Everton,Crystal Palace vs Everton,76' ,0-0,T
24/Aug/19,Florin Andone,Brighton,Brighton vs Southampton,30' ,0-2,L
31/Aug/19,Kevin Danso,Southampton,Southampton vs Man United,73' ,1-1,T
31/Aug/19,Trézéguet,Aston Villa,Crystal Palace vs Aston Villa,54' ,1-0,W
1/Sep/19,Willy Boly,Wolverhampton,Everton vs Wolverhampton,90'+5' ,3-2,L
14/Sep/19,John Fleck,Sheffield United,Sheffield United vs Southampton,85' ,0-1,L
16/Sep/19,Arthur Masuaku,West Ham,Aston Villa vs West Ham,67' ,0-0,T
22/Sep/19,Romain Saïss,Wolverhampton,Crystal Palace vs Wolverhampton,73' ,1-1,T
22/Sep/19,Ainsley Maitland-Niles,Arsenal,Arsenal vs Aston Villa,41' ,3-2,W
28/Sep/19,Serge Aurier,Tottenham,Tottenham vs Southampton,31' ,2-1,W
29/Sep/19,Isaac Hayden,Newcastle,Leicester vs Newcastle,43' ,5-0,L
05/Oct/19,Séamus Coleman,Everton,Burnley vs Everton,56' ,1-0,L
19/Oct/19,Aaron Mooy,Brighton,Bournemouth vs Brighton,35' ,2-1,L
25/Oct/19,Ryan Bertrand,Southampton,Southampton vs Leicester,12' ,0-9,L
26/Oct/19,Fernandinho,Man City,Man City vs Aston Villa,87' ,3-0,W
27/Oct/19,Sean Longstaff,Newcastle,Newcastle vs Wolverhampton,82' ,1-1,T
3/Nov/19,Son Heung-Min,Tottenham,Everton vs Tottenham,79' ,1-1,T
9/Nov/19,Christian Kabasele,Watford,Norwich vs Watford,65' ,0-2,W
23/Nov/19,Simon Francis,Bournemouth,Bournemouth vs Wolverhampton,37' ,1-2,L
30/Nov/19,Alisson,Liverpool,Liverpool vs Brighton,76' ,2-1,W
03/Dec/19,Mamadou Sakho,Crystal Palace,Crystal Palace vs Bournemouth,19' ,1-0,W
22/Dec/19,Son Heung-Min,Tottenham,Tottenham vs Chelsea,62' ,0-2,L
27/Dec/19,Ederson,Man City,Wolverhampton vs Man City,12' ,3-2,L
28/Dec/19,Adrian Mariappa,Watford,Watford vs Aston Villa,57' ,3-0,W
1/Jan/20,Christian Kabasele,Watford,Watford vs Wolverhampton,71' ,2-1,W
11/Jan/20,Pierre-Emerick Aubameyang,Arsenal,Crystal Palace vs Arsenal,67' ,1-1,T
18/Jan/20,Steve Cook,Bournemouth,Norwich vs Bournemouth,31' ,1-0,L
18/Jan/20,Ben Godfrey,Norwich,Norwich vs Bournemouth,76' ,1-0,W
21/Jan/20,David Luiz,Arsenal,Chelsea vs Arsenal,26' ,2-2,T
01/Feb/20,Jefferson Lerma,Bournemouth,Bournemouth vs Aston Villa,51' ,2-1,W
1/Feb/20,Fabian Delph,Everton,Watford vs Everton,71' ,2-3,W
2/Feb/20,Oleksandr Zinchenko,Man City,Tottenham vs Man City,60' ,2-0,L
14/Feb/20,Hamza Choudhur,Leicester,Wolverhampton vs Leicester,76' ,0-0,T
22/Feb/20,Valentino Lazaro,Newcastle,Crystal Palace vs Newcastle,90'+5' ,1-0,L
7/Mar/20,Moussa Djenepo,Southampton,Southampton vs Newcastle,28' ,0-1,L
17/Jun/20,David Luiz,Arsenal,Man City vs Arsenal,49' ,3-0,L
23/Feb/19,Tommy Smith,Huddersfield,Newcastle vs Huddersfield,20' ,2-0,L
02/Mar/19,Lucas Torreira,Arsenal,Tottenham vs Arsenal,90'+5' ,1-1,T
16/Mar/19,Harry Maguire,Leicester,Burnley vs Leicester,4' ,1-2,W
02/Apr/19,Ashley Young,Man United,Wolverhampton vs Man United,57' ,2-1,L
13/Apr/19,Anthony Knockaert,Brighton,Brighton vs Bournemouth,68' ,0-5,L
15/Apr/19,Troy Deeney,Watford,Watford vs Arsenal,11' ,0-1,L
28/Apr/19,Ainsley Maitland-Niles,Arsenal,Leicester vs Arsenal,36' ,3-0,L
04/May/19,Son Heung-Min,Tottenham,Bournemouth vs Tottenham,43' ,1-0,L
04/May/19,Juan Foyth,Tottenham,Bournemouth vs Tottenham,48' ,1-0,L
12/May/19,José Holebas,Watford,Watford vs West Ham,48' ,1-4,L
12/Aug/17,Gary Cahill,Chelsea,Chelsea vs Burnley,14' ,2-3,L
12/Aug/17,Cesc Fàbregas,Chelsea,Chelsea vs Burnley,81' ,2-3,L
12/Aug/17,Jonjo Shelvey,Newcastle,Newcastle vs Tottenham,48' ,0-2,L
19/Aug/17,Marko Arnautovic,West Ham,Southampton vs West Ham,33' ,3-2,L
19/Aug/17,Hal Robson-Kanu,West Brom,Burnley vs West Brom,83' ,0-1,W
21/Aug/17,Kyle Walker,Man City,Man City vs Everton,44' ,1-1,T
21/Aug/17,Morgan Schneiderlin,Everton,Man City vs Everton,88' ,1-1,T
26/Aug/17,Raheem Sterling,Man City,Bournemouth vs Man City,90'+9' ,1-2,W
26/Aug/17,Miguel Britos,Watford,Watford vs Brighton,24' ,0-0,T
09/Sep/17,Sadio Mané,Liverpool,Man City vs Liverpool,37' ,5-0,L
17/Sep/17,David Luiz,Chelsea,Chelsea vs Arsenal,87' ,0-0,T
23/Sep/17,Serge Aurier,Tottenham,West Ham vs Tottenham,64' ,2-3,W
14/Oct/17,Andrew Carroll,West Ham,Burnley vs West Ham,25' ,1-1,T
22/Oct/17,Idrissa Gueye,Everton,Everton vs Arsenal,68' ,2-5,L
04/Nov/17,Christopher Schindler,Huddersfield,Huddersfield vs West Brom,57' ,1-0,W
18/Nov/17,Simon Francis,Bournemouth,Bournemouth vs Huddersfield,45'+4' ,4-0,W
26/Nov/17,Rajiv van La Parra,Huddersfield,Huddersfield vs Man City,90'+6' ,1-2,L
02/Dec/17,Davinson Sánchez,Tottenham,Watford vs Tottenham,52' ,1-1,T
02/Dec/17,Paul Pogba,Man United,Arsenal vs Man United,74' ,1-3,W
09/Dec/17,Marvin Zeegelaar,Watford,Burnley vs Watford,39' ,1-0,L
13/Dec/17,Tom Cleverley,Watford,Crystal Palace vs Watford,87' ,2-1,L
13/Dec/17,Jonjo Shelvey,Newcastle,Newcastle vs Everton,90'+4' ,0-1,L
16/Dec/17,Wilfred Ndidi,Leicester,Leicester vs Crystal Palace,61' ,0-3,L
16/Dec/17,Troy Deeney,Watford,Watford vs Huddersfield,33' ,1-4,L
16/Dec/17,Jonathan Hogg,Huddersfield,Watford vs Huddersfield,61' ,1-4,W
19/Dec/17,Daniel Amartey,Leicester,Leicester vs Man United,73' ,2-2,T
13/Jan/18,Ben Chilwell,Leicester,Chelsea vs Leicester,68' ,0-0,T
05/Feb/18,Tiemoué Bakayoko,Chelsea,Watford vs Chelsea,30' ,4-1,L
03/Mar/18,Ashley Williams,Everton,Burnley vs Everton,86' ,2-1,L
10/Mar/18,Jordan Ayew,Swansea,Huddersfield vs Swansea,11' ,0-1,W
10/Mar/18,Anthony Knockaert,Brighton,Everton vs Brighton,80' ,2-0,L
17/Mar/18,Charlie Adam,Stoke,Stoke vs Everton,30' ,1-2,L
31/Mar/18,Wilfred Ndidi,Leicester,Brighton vs Leicester,87' ,0-2,W
07/Apr/18,Davy Pröpper,Brighton,Brighton vs Huddersfield,74' ,1-1,T
08/Apr/18,Jack Stephens,Southampton,Arsenal vs Southampton,90'+2' ,3-2,L
08/Apr/18,Mohamed Elneny,Arsenal,Arsenal vs Southampton,90'+3' ,3-2,W
28/Apr/18,Marc Albrighton,Leicester,Crystal Palace vs Leicester,56' ,5-0,L
05/May/18,Maya Yoshida,Southampton,Everton vs Southampton,85' ,1-1,T
09/May/18,Konstantinos Mavropanos,Arsenal,Leicester vs Arsenal,15' ,3-1,L
